PC,    I,     INSTRUCTION,  x,   kk,    regVx
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   24
3ad,    4a8,     7b08,        b,  8,   2c
3af,    4a8,     7d01,        d,  1,   5
3b1,    4a8,     7a01,        a,  1,   5
3b3,    4a8,     3a07,        a,  7,   5
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    607,     fd1e,        d,  1e,   5
397,    608,     f065,        0,  65,   ffa8
399,    608,     30ff,        0,  ff,   ffa8
3a5,    608,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   2c
3ad,    4a8,     7b08,        b,  8,   34
3af,    4a8,     7d01,        d,  1,   6
3b1,    4a8,     7a01,        a,  1,   6
3b3,    4a8,     3a07,        a,  7,   6
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    608,     fd1e,        d,  1e,   6
397,    609,     f065,        0,  65,   ffa8
399,    609,     30ff,        0,  ff,   ffa8
3a5,    609,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   34
3ad,    4a8,     7b08,        b,  8,   3c
3af,    4a8,     7d01,        d,  1,   7
3b1,    4a8,     7a01,        a,  1,   7
3b5,    4a8,     3a07,        a,  7,   7
247,    4a8,     ee,        0,  ee,   ffa8
249,    4a8,     600a,        0,  a,   a
24b,    4a8,     f015,        0,  15,   a
24d,    4a8,     f007,        0,  7,   9
24f,    4a8,     3000,        0,  0,   9
24b,    4a8,     124b,        2,  4b,   8
24d,    4a8,     f007,        0,  7,   6
24f,    4a8,     3000,        0,  0,   6
24b,    4a8,     124b,        2,  4b,   8
24d,    4a8,     f007,        0,  7,   3
24f,    4a8,     3000,        0,  0,   3
24b,    4a8,     124b,        2,  4b,   8
